"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","View cart that id number is 1","SUCCESS","2023-04-16T11:48:07.7766737+07:00[Asia/Bangkok]","0.0","6.17"
"Cart","View cart with invalid API endpoint","SUCCESS","2023-04-16T11:48:13.9949497+07:00[Asia/Bangkok]","0.0","1.08"
"Login","Successful login with valid credentials","SUCCESS","2023-04-16T11:48:15.1148168+07:00[Asia/Bangkok]","0.0","1.03"
"Login","Failed to login with invalid credentials","SUCCESS","2023-04-16T11:48:16.160172+07:00[Asia/Bangkok]","0.0","1.05"
"Products","View product that id number is 1","SUCCESS","2023-04-16T11:48:17.2276564+07:00[Asia/Bangkok]","0.0","1.16"
"User","View number 1 user information","SUCCESS","2023-04-16T11:48:19.2039496+07:00[Asia/Bangkok]","0.0","1.06"
